EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON
203353,SANTA CRUZ MOUNTAINS (ZONE), ,11/28/2009,1100,Strong Wind,43.00, ,0,0,50000,0,CA,PST-8,EG,35175,Z,512,MTR,0,0,Newspaper, , , , , , , , ,11/29/2009,0, , , , 
203544,SANTA CRUZ MOUNTAINS (ZONE), ,12/08/2009,0,Frost/Freeze, , ,0,0,0,0,CA,PST-8, ,35201,Z,512,MTR,0,0,Newspaper, , , , , , , , ,12/08/2009,800, , , , 
207767,SAN FRANCISCO PENINSULA COAST (ZONE), ,12/17/2009,1250,High Surf, , ,0,0,50000,0,CA,PST-8, ,35894,Z,509,MTR,0,0,Newspaper, , , , , , , , ,12/17/2009,2050, , , , 
213586,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/18/2010,900,Strong Wind,39.00, ,0,1,95000,0,CA,PST-8,EG,36751,Z,508,MTR,0,0,Newspaper, , , , , , , , ,01/18/2010,1200, , , , 
213583,SAN FRANCISCO PENINSULA COAST (ZONE), ,01/18/2010,900,High Wind,60.00, ,0,0,230000,0,CA,PST-8,MG,36751,Z,509,MTR,0,0,Mesonet, , , , , , , , ,01/18/2010,1100, , , , 
213525,SANTA CRUZ MOUNTAINS (ZONE), ,01/18/2010,900,Strong Wind,39.00, ,0,0,150000,0,CA,PST-8,EG,36751,Z,512,MTR,0,0,Newspaper, , , , , , , , ,01/18/2010,1200, , , , 
213571,SAN MATEO CO.,(SFO)SFO INTL ARPT,01/18/2010,1023,Thunderstorm Wind,51.00, ,0,0,0,0,CA,PST-8,MG,36751,C,81,MTR,0,0,ASOS, , , ,0,N,0,N,(SFO)SFO INTL ARPT,01/18/2010,1023,37.62,-122.38,37.62,-122.38
213600,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/19/2010,300,High Wind,54.00, ,0,0,40000,0,CA,PST-8,MG,36759,Z,508,MTR,0,0,ASOS, , , , , , , , ,01/19/2010,830, , , , 
213597,SAN FRANCISCO PENINSULA COAST (ZONE), ,01/19/2010,400,High Wind,63.00, ,0,0,0,0,CA,PST-8,MG,36759,Z,509,MTR,0,0,RAWS, , , , , , , , ,01/19/2010,800, , , , 
213606,SANTA CRUZ MOUNTAINS (ZONE), ,01/19/2010,500,Strong Wind,44.00, ,0,0,200000,0,CA,PST-8,MG,36759,Z,512,MTR,0,0,RAWS, , , , , , , , ,01/19/2010,800, , , , 
213639,SAN MATEO CO.,LADERA,01/19/2010,700,Flood, , ,0,0,15000,0,CA,PST-8, ,36759,C,81,MTR,0,0,Newspaper,Heavy Rain, , ,2,NNE,2,NNE,LADERA,01/19/2010,900,37.424,-122.1658,37.4238,-122.1659
213769,SAN FRANCISCO PENINSULA COAST (ZONE), ,01/20/2010,600,High Surf, , ,0,0,1500000,0,CA,PST-8, ,36727,Z,509,MTR,0,0,Law Enforcement, , , , , , , , ,01/21/2010,1200, , , , 
213688,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/20/2010,700,High Wind,52.00, ,0,1,245000,0,CA,PST-8,EG,36727,Z,508,MTR,0,0,Newspaper, , , , , , , , ,01/20/2010,1000, , , , 
213758,SAN MATEO CO.,PESCADERO,01/20/2010,700,Flood, , ,0,0,20000,0,CA,PST-8, ,36727,C,81,MTR,0,0,Newspaper,Heavy Rain, , ,1,N,1,W,PESCADERO,01/20/2010,1000,37.2645,-122.38,37.25,-122.3982
213754,SAN FRANCISCO PENINSULA COAST (ZONE), ,01/20/2010,800,High Wind,50.00, ,0,0,15000,0,CA,PST-8,EG,36727,Z,509,MTR,0,0,Newspaper, , , , , , , , ,01/20/2010,1000, , , , 
213693,SAN MATEO CO.,SAN CARLOS,01/20/2010,800,Flood, , ,0,0,15000,0,CA,PST-8, ,36727,C,81,MTR,0,0,Newspaper,Heavy Rain, , ,1,E,1,E,SAN CARLOS,01/20/2010,1000,37.5019,-122.2621,37.5019,-122.2611
213686,SAN MATEO CO.,(SQL)SAN CARLOS ARPT,01/20/2010,830,Flood, , ,0,0,30000,0,CA,PST-8, ,36727,C,81,MTR,0,0,Newspaper,Heavy Rain, , ,1,W,1,W,(SQL)SAN CARLOS ARPT,01/20/2010,1000,37.517,-122.2694,37.5207,-122.2651
213759,SAN MATEO CO.,PEDRO VLY,01/20/2010,919,Thunderstorm Wind,56.00, ,0,0,0,0,CA,PST-8,MG,36727,C,81,MTR,0,0,RAWS, , , ,3,ESE,3,ESE,PEDRO VLY,01/20/2010,920,37.56,-122.44,37.56,-122.44
213781,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/22/2010,900,Strong Wind,39.00, ,0,0,15000,0,CA,PST-8,EG,36772,Z,508,MTR,0,0,Newspaper, , , , , , , , ,01/22/2010,1300, , , , 
216578,SAN FRANCISCO PENINSULA COAST (ZONE), ,02/13/2010,500,High Surf, , ,0,13,50000,0,CA,PST-8, ,37234,Z,509,MTR,0,0,Newspaper, , , , , , , , ,02/13/2010,1600, , , , 
227072,SANTA CRUZ MOUNTAINS (ZONE), ,04/11/2010,2300,Strong Wind,45.00, ,0,0,25000,0,CA,PST-8,EG,39101,Z,512,MTR,0,0,Emergency Manager, , , , , , , , ,04/12/2010,200, , , , 
266259,SANTA CRUZ MOUNTAINS (ZONE), ,10/24/2010,800,Strong Wind,47.00, ,0,0,15000,0,CA,PST-8,MG,45887,Z,512,MTR,0,0,RAWS, , , , , , , , ,10/24/2010,1800, , , , 
266254,SAN FRANCISCO BAY SHORELINE (ZONE), ,10/24/2010,1200,Strong Wind,45.00, ,0,0,20000,0,CA,PST-8,EG,45887,Z,508,MTR,0,0,Newspaper, , , , , , , , ,10/24/2010,1600, , , , 
269528,SANTA CRUZ MOUNTAINS (ZONE), ,11/20/2010,1730,Strong Wind,48.00, ,0,0,500000,0,CA,PST-8,MG,46465,Z,512,MTR,0,0,RAWS, , , , , , , , ,11/20/2010,2000, , , , 
275755,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/18/2010,1130,Strong Wind,45.00, ,0,0,5000,0,CA,PST-8,EG,47344,Z,508,MTR,0,0,Department of Highways, , , , , , , , ,12/19/2010,130, , , , 
275622,SANTA CRUZ MOUNTAINS (ZONE), ,12/19/2010,100,Strong Wind,45.00, ,0,0,40000,0,CA,PST-8,EG,47344,Z,512,MTR,0,0,Newspaper, , , , , , , , ,12/19/2010,1300, , , , 
275620,SANTA CRUZ MOUNTAINS (ZONE), ,12/19/2010,540,Debris Flow, , ,0,0,4000,0,CA,PST-8, ,47344,Z,512,MTR,0,0,Newspaper, , , , , , , , ,12/19/2010,600, , , , 
275770,SANTA CRUZ MOUNTAINS (ZONE), ,12/28/2010,1700,High Wind,50.00, ,0,0,15000,0,CA,PST-8,MG,47354,Z,512,MTR,0,0,RAWS, , , , , , , , ,12/29/2010,500, , , , 
275773,SAN FRANCISCO BAY SHORELINE (ZONE), ,12/28/2010,2300,Debris Flow, , ,0,0,0,0,CA,PST-8, ,47354,Z,508,MTR,0,0,Department of Highways, , , , , , , , ,12/28/2010,2315, , , , 
275784,SAN FRANCISCO PENINSULA COAST (ZONE), ,12/29/2010,900,Coastal Flood, , ,0,0,0,0,CA,PST-8, ,47354,Z,509,MTR,0,0,Newspaper, , , , , , , , ,12/29/2010,1500, , , , 
277340,SAN FRANCISCO BAY SHORELINE (ZONE), ,01/20/2011,100,Strong Wind,39.00, ,0,0,10000,0,CA,PST-8,EG,47599,Z,508,MTR,0,0,Newspaper, , , , , , , , ,01/20/2011,900, , , , 
277351,SAN FRANCISCO PENINSULA COAST (ZONE), ,01/22/2011,600,High Surf, , ,0,1,0,0,CA,PST-8, ,47599,Z,509,MTR,0,0,Newspaper, , , , , , , , ,01/23/2011,300, , , , 
286486,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/15/2011,2030,High Wind,52.00, ,0,0,150000,0,CA,PST-8,MG,48940,Z,508,MTR,0,0,Mesonet, , , , , , , , ,02/16/2011,30, , , , 
286497,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/17/2011,430,Strong Wind,30.00, ,0,0,10000,0,CA,PST-8,EG,48940,Z,508,MTR,0,0,Law Enforcement, , , , , , , , ,02/17/2011,900, , , , 
286821,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/25/2011,0,Debris Flow, , ,0,0,0,0,CA,PST-8, ,48986,Z,508,MTR,0,0,Law Enforcement, , , , , , , , ,02/25/2011,400, , , , 
286824,SANTA CRUZ MOUNTAINS (ZONE), ,02/25/2011,500,Strong Wind,39.00, ,0,0,35000,0,CA,PST-8,EG,48986,Z,512,MTR,0,0,Emergency Manager, , , , , , , , ,02/25/2011,1000, , , , 
286825,SAN FRANCISCO BAY SHORELINE (ZONE), ,02/25/2011,500,Strong Wind,39.00, ,0,0,45000,0,CA,PST-8,EG,48986,Z,508,MTR,0,0,Emergency Manager, , , , , , , , ,02/25/2011,1000, , , , 
288763,SAN FRANCISCO PENINSULA COAST (ZONE), ,03/11/2011,847,Tsunami, , ,0,0,154000,0,CA,PST-8, ,49300,Z,509,MTR,0,0,State Official, , , , , , , , ,03/13/2011,345, , , , 
288765,SAN FRANCISCO BAY SHORELINE (ZONE), ,03/11/2011,912,Tsunami, , ,0,0,50000,0,CA,PST-8, ,49300,Z,508,MTR,0,0,Newspaper, , , , , , , , ,03/12/2011,1400, , , , 
290109,SAN FRANCISCO PENINSULA COAST (ZONE), ,03/16/2011,1400,High Surf, , ,1,0,0,0,CA,PST-8, ,49497,Z,509,MTR,0,0,Newspaper, , , , , , , , ,03/17/2011,1100, , , , 
290101,SAN FRANCISCO BAY SHORELINE (ZONE), ,03/19/2011,2000,High Wind,57.00, ,0,0,100000,0,CA,PST-8,EG,49497,Z,508,MTR,0,0,Law Enforcement, , , , , , , , ,03/20/2011,500, , , , 
290115,SANTA CRUZ MOUNTAINS (ZONE), ,03/20/2011,319,Debris Flow, , ,0,0,0,0,CA,PST-8, ,49497,Z,512,MTR,0,0,County Official, , , , , , , , ,03/20/2011,319, , , , 
